Code gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;Agence gare;Région SNCF;Unité gare;UT;Nbre plateformes;N° plateforme;Intitulé plateforme;Code postal;Commune;Département - Commune;Département;Région;Longitude WGS84;Latitude WGS84;Code UIC;TVS;Segment DRG;Niveau de service;SOP;RG;Date fin validité plateforme;WGS 84
01455;Saint-Martin d'Étampes;Saint-Martin d'Étampes;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Saint-Martin d'Étampes;91150;Étampes;91-223;Essonne;Île-de-France;2.145401;48.427470;0087545350;SME;b;;;;;48.42747, 2.145401
01475;Monnerville;Monnerville;Oui;Non;AG Ile-de-France;REGION DE PARIS RIVE GAUCHE;;;1;1;Monnerville;91930;Monnerville;91-414;Essonne;Île-de-France;2.0320595;48.3484915;0087545111;MWW;c;;;;;48.3484915, 2.0320595
01481;Nouan-le-Fuzelier;Nouan-le-Fuzelier;Oui;Non;AG Centre-Ouest;REGION CENTRE;UG ERV Centre;;1;1;Nouan-le-Fuzelier;41600;Nouan-le-Fuzelier;41-161;Loir-et-Cher;Centre-Val de Loire;2.0330957;47.5337788;0087543157;NOF;c;1;;;;47.5337788, 2.0330957
01491;Cercottes;Cercottes;Oui;Non;AG Centre-Ouest;REGION CENTRE;UG ERV Centre;;1;1;Cercottes;45520;Cercottes;45-062;Loiret;Centre-Val de Loire;1.8849813;47.9861553;0087543033;CCT;c;1;;;;47.9861553, 1.8849813
01492;Les Aubrais;Les Aubrais;Oui;Non;AG Centre-Ouest;REGION CENTRE;UG ERV Centre;;1;1;Les Aubrais;45400;Fleury-les-Aubrais;45-147;Loiret;Centre-Val de Loire;1.906629;47.926801;0087543017;LAB;a;2;;;;47.926801, 1.906629
01498;Saujon;Saujon;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG Poitou-Charentes;;1;1;Saujon;17600;Saujon;17-421;Charente-Maritime;Nouvelle-Aquitaine;-0.9300187;45.6665019;0087491811;SJW;c;1;;;;45.6665019, -0.9300187
01517;Fontaines-d'Ozillac;Fontaines-d'Ozillac;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG Poitou-Charentes;;1;1;Fontaines-d'Ozillac;17500;Fontaines-d'Ozillac;17-163;Charente-Maritime;Nouvelle-Aquitaine;-0.3836092;45.3872162;0087491159;FZC;c;1;;;;45.3872162, -0.3836092
01528;Les Rosiers-sur-Loire;Les Rosiers-sur-Loire;Oui;Non;AG Centre-Ouest;REGION PAYS DE LA LOIRE;UG TER Pays de la Loire;;1;1;Les Rosiers-sur-Loire;49350;Rosiers-sur-Loire;49-261;Maine-et-Loire;Pays de la Loire;-0.2205371;47.3625386;0087487876;ROR;c;1;;;;47.3625386, -0.2205371
01054;Marignac - Saint-Béat;Marignac - Saint-Béat;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Marignac - Saint-Béat;31440;Marignac;31-316;Haute-Garonne;Occitanie;0.651998;42.9155675;0087611194;MSB;c;1;;;;42.9155675, 0.651998
01062;Martres-Tolosane;Martres-Tolosane;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Martres-Tolosane;31220;Martres-Tolosane;31-324;Haute-Garonne;Occitanie;1.0167558;43.1962069;0087611087;MXA;c;1;;;;43.1962069, 1.0167558
01065;Longages - Noé;Longages - Noé;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Longages - Noé;31410;Longages;31-303;Haute-Garonne;Occitanie;1.2519529;43.3563239;0087611053;LNN;b;1;;;;43.3563239, 1.2519529
01075;Parsac - Gouzon;Parsac - Gouzon;Oui;Non;AG Sud-Ouest;REGION LIMOUSIN;UG EEV Limousin;;1;1;Parsac - Gouzon;23140;Parsac-Rimondeix;23-149;Creuse;Nouvelle-Aquitaine;2.1744416;46.1986154;0087597724;PCG;c;1;;;;46.1986154, 2.1744416
01078;Vieilleville;Vieilleville;Oui;Non;AG Sud-Ouest;REGION LIMOUSIN;UG EEV Limousin;;1;1;Vieilleville;23210;Mourioux-Vieilleville;23-137;Creuse;Nouvelle-Aquitaine;1.6736439;46.0910959;0087597633;VVL;c;1;;;;46.0910959, 1.6736439
01081;Éguzon;Éguzon;Oui;Non;AG Centre-Ouest;REGION LIMOUSIN;UG ERV Centre;;1;1;Éguzon;36270;Éguzon-Chantôme;36-070;Indre;Centre-Val de Loire;1.5521707;46.4397694;0087597153;EGU;c;1;;;;46.4397694, 1.5521707
01088;Sainte-Lizaigne;Sainte-Lizaigne;Oui;Non;AG Centre-Ouest;REGION LIMOUSIN;UG ERV Centre;;1;1;Sainte-Lizaigne;36260;Sainte-Lizaigne;36-199;Indre;Centre-Val de Loire;2.0298004;47.002251;0087597054;XZG;c;1;;;;47.002251, 2.0298004
01089;Reuilly;Reuilly;Oui;Non;AG Centre-Ouest;REGION LIMOUSIN;UG ERV Centre;;1;1;Reuilly;36260;Reuilly;36-171;Indre;Centre-Val de Loire;2.0474783;47.0853677;0087597039;REL;c;1;;;;47.0853677, 2.0474783
01092;Belvès;Belvès;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG EEV Aquitaine;;1;1;Belvès;24170;Pays de Belvès;24-035;Dordogne;Nouvelle-Aquitaine;1.0118831;44.7773978;0087595876;BES;c;1;;;;44.7773978, 1.0118831
01097;Le Bugue;Le Bugue;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG EEV Aquitaine;;1;1;Le Bugue;24260;Bugue;24-067;Dordogne;Nouvelle-Aquitaine;0.942795;44.9056892;0087595744;BDG;c;1;;;;44.9056892, 0.942795
