Code gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;Agence gare;Région SNCF;Unité gare;UT;Nbre plateformes;N° plateforme;Intitulé plateforme;Code postal;Commune;Département - Commune;Département;Région;Longitude WGS84;Latitude WGS84;Code UIC;TVS;Segment DRG;Niveau de service;SOP;RG;Date fin validité plateforme;WGS 84
00002;Remise à Jorelle;Remise à Jorelle;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;Remise à Jorelle;93140;Bondy;93-010;Seine-Saint-Denis;Île-de-France;2.487751;48.893170;0087988709;RJL;b;;;;;48.89317, 2.487751
00006;Ur les Escaldes;Ur les Escaldes;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Ur les Escaldes;66760;Ur;66-218;Pyrénées-Orientales;Occitanie;1.9404821;42.457481;0087784884;URL;c;1;;;;42.457481, 1.9404821
00011;Saillagouse;Saillagouse;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Saillagouse;66800;Saillagouse;66-167;Pyrénées-Orientales;Occitanie;2.0321126;42.4568855;0087784835;SGW;c;1;;;;42.4568855, 2.0321126
00041;Perpignan;Perpignan;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Perpignan;66027;Perpignan;66-136;Pyrénées-Orientales;Occitanie;2.879779;42.696292;0087784009;PPN;a;2;;;;42.696292, 2.879779
00045;Bagnols - Chadenet;Bagnols - Chadenet;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Bagnols - Chadenet;48190;Allenc;48-003;Lozère;Occitanie;3.628178;44.5286125;0087783647;BCT;c;1;;;;44.5286125, 3.628178
00052;Saint-Rome-de-Cernon;Saint-Rome-de-Cernon;Oui;Non;AG Sud-Ouest;REGION LANGUEDOC-ROUSSILLON;UG Midi Pyrenées TER;;1;1;Saint-Rome-de-Cernon;12490;Saint-Rome-de-Cernon;12-243;Aveyron;Occitanie;2.9673744;44.013981;0087783431;SDO;c;1;;;;44.013981, 2.9673744
00054;Sévérac-le-Château;Sévérac-le-Château;Oui;Non;AG Sud-Ouest;REGION LANGUEDOC-ROUSSILLON;UG Midi Pyrenées TER;;1;1;Sévérac-le-Château;12150;Sévérac d'Aveyron;12-270;Aveyron;Occitanie;3.0569451;44.3246516;0087783365;SVC;c;1;;;;44.3246516, 3.0569451
00057;Le Monastier;Le Monastier;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Le Monastier;48100;Bourgs sur Colagne;48-099;Lozère;Occitanie;3.252057;44.5089682;0087783308;LMR;c;1;;;;44.5089682, 3.252057
00074;Vias;Vias;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Vias;34450;Vias;34-332;Hérault;Occitanie;3.4253562;43.315653;0087781260;VAB;c;1;;;;43.315653, 3.4253562
00077;Narbonne;Narbonne;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Narbonne;11100;Narbonne;11-262;Aude;Occitanie;3.005910;43.190387;0087781104;NBN;a;2;;;;43.190387, 3.00591
00082;Aigues-Mortes;Aigues-Mortes;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Aigues-Mortes;30220;Aigues-Mortes;30-003;Gard;Occitanie;4.1912102;43.5709008;0087775858;AIM;c;1;;;;43.5709008, 4.1912102
00083;Saint-Laurent-d'Aigouze;Saint-Laurent-d'Aigouze;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Saint-Laurent-d'Aigouze;30220;Saint-Laurent-d'Aigouze;30-276;Gard;Occitanie;4.1930703;43.6392883;0087775841;XLZ;c;1;;;;43.6392883, 4.1930703
00084;Aimargues;Aimargues;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Aimargues;30470;Aimargues;30-006;Gard;Occitanie;4.2082933;43.6786107;0087775833;AIA;c;1;;;;43.6786107, 4.2082933
00103;Sainte-Cécile-d'Andorge;Sainte-Cécile-d'Andorge;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Sainte-Cécile-d'Andorge;30110;Sainte-Cécile-d'Andorge;30-239;Gard;Occitanie;3.9758497;44.2554362;0087775239;SCZ;c;1;;;;44.2554362, 3.9758497
00111;Vergèze - Codognan;Vergèze - Codognan;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Vergèze - Codognan;30310;Vergèze;30-344;Gard;Occitanie;4.218842;43.739877;0087775114;VZC;b;1;;;;43.739877, 4.218842
00126;Valergues - Lansargues;Valergues - Lansargues;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Valergues - Lansargues;34130;Valergues;34-321;Hérault;Occitanie;4.0601085;43.672678;0087773432;VGU;c;1;;;;43.672678, 4.0601085
00130;Montpellier Saint-Roch;Montpellier Saint-Roch;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Montpellier Saint-Roch;34011;Montpellier;34-172;Hérault;Occitanie;3.880674;43.604738;0087773002;MPL;a;3;;;;43.604738, 3.880674
00134;Cavaillon;Cavaillon;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Avignon;;1;1;Cavaillon;84300;Cavaillon;84-035;Vaucluse;Provence-Alpes-Côte d'Azur;5.043613;43.834554;0087765503;CVN;b;1;;;;43.834554, 5.043613
00136;Le Thor;Le Thor;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Avignon;;1;1;Le Thor;84250;Thor;84-132;Vaucluse;Provence-Alpes-Côte d'Azur;4.9962663;43.9265047;0087765453;LTH;c;1;;;;43.9265047, 4.9962663
00142;Sorgues - Châteauneuf-du-Pape;Sorgues - Châteauneuf-du-Pape;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Avignon;;1;1;Sorgues - Châteauneuf-du-Pape;84700;Sorgues;84-129;Vaucluse;Provence-Alpes-Côte d'Azur;4.8756182;44.0053909;0087765206;;c;1;;;;44.0053909, 4.8756182
00151;Donzère;Donzère;Oui;Non;AG Centre Est Rhône Alpin;REGION RHONE-ALPES;UG EEV drôme Ardèche;;1;1;Donzère;26290;Donzère;26-116;Drôme;Auvergne-Rhône-Alpes;4.7046262;44.4433646;0087764290;DOE;c;1;;;;44.4433646, 4.7046262
00153;Laragne;Laragne;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Gap;;1;1;Laragne;05300;Laragne-Montéglin;05-070;Hautes-Alpes;Provence-Alpes-Côte d'Azur;5.8189832;44.3164984;0087763755;LRN;c;1;;;;44.3164984, 5.8189832
00154;Serres;Serres;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Gap;;1;1;Serres;05700;Serres;05-166;Hautes-Alpes;Provence-Alpes-Côte d'Azur;5.7184201;44.4246573;0087763722;SRE;c;1;;;;44.4246573, 5.7184201
00158;Embrun;Embrun;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Gap;;1;1;Embrun;05200;Embrun;05-046;Hautes-Alpes;Provence-Alpes-Côte d'Azur;6.496773;44.567008;0087763466;EMB;c;1;;;;44.567008, 6.496773
00165;Luc-en-Diois;Luc-en-Diois;Oui;Non;AG Centre Est Rhône Alpin;REGION RHONE-ALPES;UG EEV drôme Ardèche;;1;1;Luc-en-Diois;26310;Luc-en-Diois;26-167;Drôme;Auvergne-Rhône-Alpes;5.4546227;44.6136615;0087761874;LDE;c;1;;;;44.6136615, 5.4546227
00172;Saint-Marcellin;Saint-Marcellin;Oui;Non;AG Centre Est Rhône Alpin;REGION ALPES;UG EEV ALPES;;1;1;Saint-Marcellin;38160;Saint-Marcellin;38-416;Isère;Auvergne-Rhône-Alpes;5.323649;45.150898;0087761718;SCI;b;1;;;;45.150898, 5.323649
00177;L'Isle-d'Abeau;L'Isle-d'Abeau;Oui;Non;AG Centre Est Rhône Alpin;REGION RHONE-ALPES;UG EEV LYON;;1;1;L'Isle-d'Abeau;38080;Isle-d'Abeau;38-193;Isère;Auvergne-Rhône-Alpes;5.219690;45.607645;0087761239;ISA;b;1;;;;45.607645, 5.21969
00179;Saint-Vallier sur Rhône;Saint-Vallier sur Rhône;Oui;Non;AG Centre Est Rhône Alpin;REGION RHONE-ALPES;UG EEV drôme Ardèche;;1;1;Saint-Vallier sur Rhône;26240;Saint-Vallier;26-333;Drôme;Auvergne-Rhône-Alpes;4.814390;45.186395;0087761130;SUO;b;1;;;;45.186395, 4.81439
00183;Picon Busserine;Picon Busserine;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Marseille;;1;1;Picon Busserine;13014;Marseille;13-055;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;5.3927456;43.3309989;0087759290;XPC;c;1;;;;43.3309989, 5.3927456
00193;Cannes La Bocca;Cannes La Bocca;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;;1;1;Cannes La Bocca;06150;Cannes;06-029;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;6.986601;43.548787;0087757617;CAB;b;1;;;;43.548787, 6.986601
00196;Le Trayas;Le Trayas;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;;1;1;Le Trayas;83700;Saint-Raphaël;83-118;Var;Provence-Alpes-Côte d'Azur;6.9243444;43.4746639;0087757575;TYA;c;1;;;;43.4746639, 6.9243444
00200;Boulouris sur Mer;Boulouris sur Mer;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;;1;1;Boulouris sur Mer;83700;Saint-Raphaël;83-118;Var;Provence-Alpes-Côte d'Azur;6.8082519;43.4163471;0087757534;BOU;c;1;;;;43.4163471, 6.8082519
00207;Saint-Dalmas de Tende;Saint-Dalmas de Tende;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;;1;1;Saint-Dalmas de Tende;06430;Tende;06-163;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.5834505;44.05582;0087756866;SDD;c;1;;;;44.05582, 7.5834505
00208;Fontan - Saorge;Fontan - Saorge;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;;1;1;Fontan - Saorge;06540;Fontan;06-062;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.5516262;43.9966378;0087756858;FTO;c;1;;;;43.9966378, 7.5516262
00210;Sospel;Sospel;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;;1;1;Sospel;06380;Sospel;06-136;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.453788;43.876545;0087756825;SOP;c;1;;;;43.876545, 7.453788
00215;Drap - Cantaron;Drap - Cantaron;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;;1;1;Drap - Cantaron;06340;Trinité;06-149;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.3168739;43.7599599;0087756775;DRA;c;1;;;;43.7599599, 7.3168739
00216;La Trinité Victor;La Trinité Victor;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;;1;1;La Trinité Victor;06340;Trinité;06-149;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.3114604;43.7427854;0087756767;TVR;c;1;;;;43.7427854, 7.3114604
00225;Nice Riquier;Nice Riquier;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;;1;1;Nice Riquier;06300;Nice;06-088;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.290175;43.705554;0087756353;NIR;b;1;;;;43.705554, 7.290175
00226;Saint-Laurent-du-Var;Saint-Laurent-du-Var;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;;1;1;Saint-Laurent-du-Var;06700;Saint-Laurent-du-Var;06-123;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.194413;43.662451;0087756346;SNV;b;1;;;;43.662451, 7.194413
00227;Cros de Cagnes;Cros de Cagnes;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;;1;1;Cros de Cagnes;06800;Cagnes-sur-Mer;06-027;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.167111;43.660465;0087756338;CKG;b;1;;;;43.660465, 7.167111
00230;Villeneuve-Loubet;Villeneuve-Loubet;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;;1;1;Villeneuve-Loubet;06270;Villeneuve-Loubet;06-161;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.134066;43.629928;0087756304;VVP;b;1;;;;43.629928, 7.134066
00235;La Crau;La Crau;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Toulon;;1;1;La Crau;83260;Crau;83-047;Var;Provence-Alpes-Côte d'Azur;6.0687663;43.1449352;0087755611;LUV;c;1;;;;43.1449352, 6.0687663
00236;Les Arcs - Draguignan;Les Arcs - Draguignan;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;;1;1;Les Arcs - Draguignan;83460;Arcs;83-004;Var;Provence-Alpes-Côte d'Azur;6.482498;43.455524;0087755447;LAC;a;2;;;;43.455524, 6.482498
00239;Gonfaron;Gonfaron;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Toulon;;1;1;Gonfaron;83590;Gonfaron;83-067;Var;Provence-Alpes-Côte d'Azur;6.2817644;43.3171516;0087755397;GFR;c;1;;;;43.3171516, 6.2817644
00250;Saint-Cyr Les Lecques - La Cadière;Saint-Cyr Les Lecques - La Cadière;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Toulon;;1;1;Saint-Cyr Les Lecques - La Cadière;83270;Saint-Cyr-sur-Mer;83-112;Var;Provence-Alpes-Côte d'Azur;5.703858;43.185509;0087755215;SAQ;b;1;;;;43.185509, 5.703858
00253;Lamanon;Lamanon;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Avignon;;1;1;Lamanon;13113;Lamanon;13-049;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;5.0913333;43.6999662;0087753731;LMN;c;1;;;;43.6999662, 5.0913333
00263;Martigues;Martigues;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Marseille;;1;1;Martigues;13500;Martigues;13-056;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;5.0257804;43.3929209;0087753509;MTG;c;1;;;;43.3929209, 5.0257804
00280;Cassis;Cassis;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Marseille;;1;1;Cassis;13260;Cassis;13-022;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;5.553055;43.234060;0087751776;CSI;b;1;;;;43.23406, 5.553055
00289;Simiane;Simiane;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Marseille;;1;1;Simiane;13109;Simiane-Collongue;13-107;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;5.426148;43.434747;0087751438;SIE;b;1;;;;43.434747, 5.426148
00292;Meyrargues;Meyrargues;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Marseille;;1;1;Meyrargues;13650;Meyrargues;13-059;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;5.5395738;43.6440076;0087751370;MEY;c;1;;;;43.6440076, 5.5395738
00295;La Brillanne - Oraison;La Brillanne - Oraison;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Gap;;1;1;La Brillanne - Oraison;04700;Brillanne;04-034;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;5.8923199;43.9247771;0087751271;LBO;c;1;;;;43.9247771, 5.8923199
00298;Sisteron;Sisteron;Oui;Non;AG Méditerranée;REGION PROVENCE ALPES COTE D'AZUR;UG Gap;;1;1;Sisteron;04200;Sisteron;04-209;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;5.9465888;44.1902025;0087751206;SIO;c;1;;;;44.1902025, 5.9465888
00573;Tarare;Tarare;Oui;Non;AG Centre Est Rhône Alpin;REGION RHONE-ALPES;UG EEV LYON;;1;1;Tarare;69170;Tarare;69-243;Rhône;Auvergne-Rhône-Alpes;4.439208;45.889921;0087721472;TAR;b;1;;;;45.889921, 4.439208
00577;L'Arbresle;L'Arbresle;Oui;Non;AG Centre Est Rhône Alpin;REGION RHONE-ALPES;UG EEV LYON;;1;1;L'Arbresle;69210;Arbresle;69-010;Rhône;Auvergne-Rhône-Alpes;4.618319;45.833299;0087721431;LBL;b;1;;;;45.833299, 4.618319
00578;Lozanne;Lozanne;Oui;Non;AG Centre Est Rhône Alpin;REGION RHONE-ALPES;UG EEV LYON;;1;1;Lozanne;69380;Lozanne;69-121;Rhône;Auvergne-Rhône-Alpes;4.681501;45.854140;0087721423;LOZ;b;1;;;;45.85414, 4.681501
00586;Albigny - Neuville;Albigny - Neuville;Oui;Non;AG Centre Est Rhône Alpin;REGION RHONE-ALPES;UG EEV LYON;;1;1;Albigny - Neuville;69250;Albigny-sur-Saône;69-003;Rhône;Auvergne-Rhône-Alpes;4.832874;45.874921;0087721266;VVN;b;1;;;;45.874921, 4.832874
00587;Couzon-au-Mont-d'Or;Couzon-au-Mont-d'Or;Oui;Non;AG Centre Est Rhône Alpin;REGION RHONE-ALPES;UG EEV LYON;;1;1;Couzon-au-Mont-d'Or;69270;Couzon-au-Mont-d'Or;69-068;Rhône;Auvergne-Rhône-Alpes;4.8294786;45.8486737;0087721241;KMD;c;1;;;;45.8486737, 4.8294786
00590;Lyon Saint-Paul;Lyon Saint-Paul;Oui;Non;AG Centre Est Rhône Alpin;REGION RHONE-ALPES;UG EEV LYON;;1;1;Lyon Saint-Paul;69005;Lyon;69-123;Rhône;Auvergne-Rhône-Alpes;4.827057;45.766010;0087721159;LSP;b;1;;;;45.76601, 4.827057
00594;Lyon Vaise;Lyon Vaise;Oui;Non;AG Centre Est Rhône Alpin;REGION RHONE-ALPES;UG EEV LYON;;1;1;Lyon Vaise;69009;Lyon;69-123;Rhône;Auvergne-Rhône-Alpes;4.803960;45.779938;0087721001;LVI;b;1;;;;45.779938, 4.80396
00596;Arc-et-Senans;Arc-et-Senans;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Franche-Comté;;1;1;Arc-et-Senans;25610;Arc-et-Senans;25-021;Doubs;Bourgogne-Franche-Comté;5.7767843;47.0303516;0087718841;ACA;c;1;;;;47.0303516, 5.7767843
00598;Morteau;Morteau;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Franche-Comté;;1;1;Morteau;25500;Morteau;25-411;Doubs;Bourgogne-Franche-Comté;6.604653;47.053727;0087718619;MTO;b;1;;;;47.053727, 6.604653
00599;Le Valdahon Camp Militaire;Le Valdahon Camp Militaire;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Franche-Comté;;1;1;Le Valdahon Camp Militaire;25800;Valdahon;25-578;Doubs;Bourgogne-Franche-Comté;6.3148621;47.1510452;0087718601;;c;1;;;;47.1510452, 6.3148621
00605;Mamirolle;Mamirolle;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Franche-Comté;;1;1;Mamirolle;25620;Mamirolle;25-364;Doubs;Bourgogne-Franche-Comté;6.1617411;47.1998712;0087718510;MIJ;c;1;;;;47.1998712, 6.1617411
00606;Saône;Saône;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Franche-Comté;;1;1;Saône;25660;Saône;25-532;Doubs;Bourgogne-Franche-Comté;6.1013089;47.2097669;0087718502;SAZ;c;1;;;;47.2097669, 6.1013089
00613;Ranchot;Ranchot;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Franche-Comté;;1;1;Ranchot;39700;Ranchot;39-451;Jura;Bourgogne-Franche-Comté;5.7246607;47.1525633;0087718338;RNH;c;1;;;;47.1525633, 5.7246607
00618;Cousance;Cousance;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Franche-Comté;;1;1;Cousance;39190;Cousance;39-173;Jura;Bourgogne-Franche-Comté;5.3868216;46.5353569;0087718270;CSJ;c;1;;;;46.5353569, 5.3868216
00621;Saint-Lothain;Saint-Lothain;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Franche-Comté;;1;1;Saint-Lothain;39230;Saint-Lothain;39-489;Jura;Bourgogne-Franche-Comté;5.6439849;46.8231806;0087718197;XLN;c;1;;;;46.8231806, 5.6439849
00622;Poligny;Poligny;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Franche-Comté;;1;1;Poligny;39800;Poligny;39-434;Jura;Bourgogne-Franche-Comté;5.7001051;46.8443393;0087718189;PGN;c;1;;;;46.8443393, 5.7001051
00623;Arbois;Arbois;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Franche-Comté;;1;1;Arbois;39600;Arbois;39-013;Jura;Bourgogne-Franche-Comté;5.7648273;46.912509;0087718155;AOI;c;1;;;;46.912509, 5.7648273
00624;Liesle;Liesle;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Franche-Comté;;1;1;Liesle;25440;Liesle;25-336;Doubs;Bourgogne-Franche-Comté;5.8208121;47.0587683;0087718130;LJL;c;1;;;;47.0587683, 5.8208121
00625;Byans;Byans;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Franche-Comté;;1;1;Byans;25320;Byans-sur-Doubs;25-105;Doubs;Bourgogne-Franche-Comté;5.8520589;47.1185334;0087718122;BYB;c;1;;;;47.1185334, 5.8520589
00633;Saint-Laurent-en-Grandvaux;Saint-Laurent-en-Grandvaux;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Franche-Comté;;1;1;Saint-Laurent-en-Grandvaux;39150;Saint-Laurent-en-Grandvaux;39-487;Jura;Bourgogne-Franche-Comté;5.9512119;46.5747975;0087715417;SLJ;c;1;;;;46.5747975, 5.9512119
00637;Sainte-Colombe;Sainte-Colombe;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Franche-Comté;;1;1;Sainte-Colombe;25300;Sainte-Colombe;25-515;Doubs;Bourgogne-Franche-Comté;6.2659748;46.879207;0087715151;XCB;c;1;;;;46.879207, 6.2659748
00646;Louhans;Louhans;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Bourgogne;;1;1;Louhans;71500;Louhans;71-263;Saône-et-Loire;Bourgogne-Franche-Comté;5.2174853;46.6309;0087713735;LHN;c;1;;;;46.6309, 5.2174853
00655;Fontaines - Mercurey;Fontaines - Mercurey;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Bourgogne;;1;1;Fontaines - Mercurey;71150;Fontaines;71-202;Saône-et-Loire;Bourgogne-Franche-Comté;4.7750693;46.8512109;0087713586;FAE;c;1;;;;46.8512109, 4.7750693
00656;Chagny;Chagny;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Bourgogne;;1;1;Chagny;71150;Chagny;71-073;Saône-et-Loire;Bourgogne-Franche-Comté;4.749682;46.907269;0087713578;CHY;b;1;;;;46.907269, 4.749682
00657;Meursault;Meursault;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Bourgogne;;1;1;Meursault;21190;Meursault;21-412;Côte-d'Or;Bourgogne-Franche-Comté;4.7954444;46.9690497;0087713560;MAT;c;1;;;;46.9690497, 4.7954444
00668;Tonnerre;Tonnerre;Oui;Non;AG Centre Est Rhône Alpin;REGION DE PARIS-SUD-EST;UG Bourgogne;;1;1;Tonnerre;89700;Tonnerre;89-418;Yonne;Bourgogne-Franche-Comté;3.97355;47.85938;0087713198;TNE;b;1;;;;47.85938, 3.97355
00669;Nuits sous Ravières;Nuits sous Ravières;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Bourgogne;;1;1;Nuits sous Ravières;89390;Nuits;89-280;Yonne;Bourgogne-Franche-Comté;4.211186;47.7291142;0087713156;NUR;c;1;;;;47.7291142, 4.211186
00672;Thenissey;Thenissey;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Bourgogne;;1;1;Thenissey;21150;Thenissey;21-627;Côte-d'Or;Bourgogne-Franche-Comté;4.6221929;47.4947945;0087713099;TEY;c;1;;;;47.4947945, 4.6221929
00678;Chaugey;Chaugey;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Bourgogne;;1;1;Chaugey;21170;Chaugey;21-157;Côte-d'Or;Bourgogne-Franche-Comté;5.2551914;47.0872036;0087712679;CFJ;c;1;;;;47.0872036, 5.2551914
00683;Lantenay;Lantenay;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Bourgogne;;1;1;Lantenay;21370;Lantenay;21-339;Côte-d'Or;Bourgogne-Franche-Comté;4.860963;47.3351085;0087712323;LWP;c;1;;;;47.3351085, 4.860963
00685;Neuilly-lès-Dijon;Neuilly-lès-Dijon;Oui;Non;AG Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Bourgogne;;1;1;Neuilly-lès-Dijon;21800;Neuilly-lès-Dijon;21-452;Côte-d'Or;Bourgogne-Franche-Comté;5.1111983;47.2815829;0087712182;CVG;c;1;;;;47.2815829, 5.1111983
00689;Coulanges-sur-Yonne;Coulanges-sur-Yonne;Oui;Non;AG Centre Est Rhône Alpin;REGION DE PARIS-SUD-EST;UG Bourgogne;;1;1;Coulanges-sur-Yonne;89480;Coulanges-sur-Yonne;89-119;Yonne;Bourgogne-Franche-Comté;3.5472388;47.5270546;0087696831;CAO;c;1;;;;47.5270546, 3.5472388
00690;Clamecy;Clamecy;Oui;Non;AG Centre Est Rhône Alpin;REGION DE PARIS-SUD-EST;UG Bourgogne;;1;1;Clamecy;58500;Clamecy;58-079;Nièvre;Bourgogne-Franche-Comté;3.5207672;47.4666984;0087696807;CLA;c;1;;;;47.4666984, 3.5207672
00693;Luzy;Luzy;Oui;Non;AG Centre Est Rhône Alpin;REGION AUVERGNE;UG Bourgogne;;1;1;Luzy;58170;Luzy;58-149;Nièvre;Bourgogne-Franche-Comté;3.9693245;46.7940793;0087696534;LUY;c;1;;;;46.7940793, 3.9693245
