TGV,arrivalDate,availablePhysicalSpaces,baseClasses,bookingType,boundaryPoint,carrierCode,departureDate,destination,destinationCode,destinationDetail,duration,fullIndicator,hasPerturbations,hostIndicator,id,inventory,min_price,onboardServices,origin,originCode,originDetail,price_FLEX,price_NOFLEX,price_SEMIFLEX,price_UPSELL,realTimeInformations,seatmapAvailable,services,showRating,tctCodeList,ticketProvider,total_duration,total_trains,trainEquipment,trainNumber,trainPeriod,trainType,transporter,transporterRating,trip_arrivalDate,trip_departureDate,trip_id,trip_name,trip_rank,unsellableReason,vehicleType
True,2017-08-22 11:57:00,"[A, B]",,RN,,SN,2017-08-22 08:26:00,PARIS BERCY,FRPBE,"{u'cityCode': u'FRPAR', u'cityLabel': u'PARIS', u'outsideFrance': False, u'stationLabel': u'PARIS BERCY', u'zipCode': u'75', u'stationLabelFr': u'PARIS BERCY', u'stationCode': u'FRPBE', u'cityLabelFr': u'PARIS'}",12660000,,False,,5,wdi,107.5,"[HANDICAPE, VELO_PAYANT, NURSERIE, RESTAURATION]",CLERMONT FERRAND GARE,FRCFE,"{u'cityCode': u'FRCWP', u'cityLabel': u'CLERMONT FERRAND', u'outsideFrance': False, u'stationLabel': u'CLERMONT FERRAND GARE', u'zipCode': u'63', u'stationLabelFr': u'CLERMONT FERRAND GARE', u'stationCode': u'FRCFE', u'cityLabelFr': u'CLERMONT FERRAND'}",139.9,,107.5,120.1,,False,[],False,[],RR,0 days 10:00:00.000000000,3,,5962,BLUE,TJC,INTERCITÉS,,2017-08-22T15:50:00,2017-08-22T05:50:00,50f92c2e-9abb-4131-93a3-c9aac0737db1,AURILLAC to NANTES,1,NONE,TRAIN
True,2017-08-22 15:50:00,"[A, B]",,RN,,SN,2017-08-22 13:42:00,NANTES,FRNTE,"{u'cityCode': u'FRTNE', u'cityLabel': u'NANTES', u'outsideFrance': False, u'stationLabel': u'NANTES', u'zipCode': u'44', u'stationLabelFr': u'NANTES', u'stationCode': u'FRNTE', u'cityLabelFr': u'NANTES'}",7680000,,False,,6,wdi,107.5,"[HANDICAPE, VOITURE_BAR, VELO_PAYANT]",PARIS MONTPARNASSE 1 ET 2,FRPMO,"{u'cityCode': u'FRPAR', u'cityLabel': u'PARIS', u'outsideFrance': False, u'stationLabel': u'PARIS MONTPARNASSE 1 ET 2', u'zipCode': u'75', u'stationLabelFr': u'PARIS MONTPARNASSE 1 ET 2', u'stationCode': u'FRPMO', u'cityLabelFr': u'PARIS'}",139.9,,107.5,120.1,,True,[],False,[],RR,0 days 10:00:00.000000000,3,,8821,BLUE,TGA,TGV,,2017-08-22T15:50:00,2017-08-22T05:50:00,50f92c2e-9abb-4131-93a3-c9aac0737db1,AURILLAC to NANTES,2,NONE,TRAIN
True,2017-08-22 12:48:00,[B],,RI,,SN,2017-08-22 10:22:00,CLERMONT FERRAND GARE,FRCFE,"{u'cityCode': u'FRCWP', u'cityLabel': u'CLERMONT FERRAND', u'outsideFrance': False, u'stationLabel': u'CLERMONT FERRAND GARE', u'zipCode': u'63', u'stationLabelFr': u'CLERMONT FERRAND GARE', u'stationCode': u'FRCFE', u'cityLabelFr': u'CLERMONT FERRAND'}",8760000,,False,,7,wdi,116.1,[VELO_GRATUIT],AURILLAC,FRAUR,"{u'cityCode': None, u'cityLabel': None, u'outsideFrance': False, u'stationLabel': u'AURILLAC', u'zipCode': u'15', u'stationLabelFr': u'AURILLAC', u'stationCode': u'FRAUR', u'cityLabelFr': None}",155.7,,116.1,152.7,,False,[],False,[],RR,0 days 10:26:00.000000000,3,,73804,BLUE,TER,TER,,2017-08-22T20:48:00,2017-08-22T10:22:00,69812547-aea8-4ca6-97c9-cdedf70ba3b4,AURILLAC to NANTES,0,NONE,TRAIN
True,2017-08-22 16:57:00,"[A, B]",,RN,,SN,2017-08-22 13:26:00,PARIS BERCY,FRPBE,"{u'cityCode': u'FRPAR', u'cityLabel': u'PARIS', u'outsideFrance': False, u'stationLabel': u'PARIS BERCY', u'zipCode': u'75', u'stationLabelFr': u'PARIS BERCY', u'stationCode': u'FRPBE', u'cityLabelFr': u'PARIS'}",12660000,,False,,8,wdi,116.1,"[HANDICAPE, VELO_PAYANT, NURSERIE, RESTAURATION]",CLERMONT FERRAND GARE,FRCFE,"{u'cityCode': u'FRCWP', u'cityLabel': u'CLERMONT FERRAND', u'outsideFrance': False, u'stationLabel': u'CLERMONT FERRAND GARE', u'zipCode': u'63', u'stationLabelFr': u'CLERMONT FERRAND GARE', u'stationCode': u'FRCFE', u'cityLabelFr': u'CLERMONT FERRAND'}",155.7,,116.1,152.7,,False,[],False,[],RR,0 days 10:26:00.000000000,3,,5970,BLUE,TJC,INTERCITÉS,,2017-08-22T20:48:00,2017-08-22T10:22:00,69812547-aea8-4ca6-97c9-cdedf70ba3b4,AURILLAC to NANTES,1,NONE,TRAIN
True,2017-08-22 20:48:00,"[A, B]",,RN,,SN,2017-08-22 18:46:00,NANTES,FRNTE,"{u'cityCode': u'FRTNE', u'cityLabel': u'NANTES', u'outsideFrance': False, u'stationLabel': u'NANTES', u'zipCode': u'44', u'stationLabelFr': u'NANTES', u'stationCode': u'FRNTE', u'cityLabelFr': u'NANTES'}",7320000,,False,,9,wdi,116.1,"[HANDICAPE, VOITURE_BAR, VELO_PAYANT]",PARIS MONTPARNASSE 1 ET 2,FRPMO,"{u'cityCode': u'FRPAR', u'cityLabel': u'PARIS', u'outsideFrance': False, u'stationLabel': u'PARIS MONTPARNASSE 1 ET 2', u'zipCode': u'75', u'stationLabelFr': u'PARIS MONTPARNASSE 1 ET 2', u'stationCode': u'FRPMO', u'cityLabelFr': u'PARIS'}",155.7,,116.1,152.7,,True,[],False,[],RR,0 days 10:26:00.000000000,3,,8979,BLUE,TGA,TGV,,2017-08-22T20:48:00,2017-08-22T10:22:00,69812547-aea8-4ca6-97c9-cdedf70ba3b4,AURILLAC to NANTES,2,NONE,TRAIN
True,2017-08-22 13:55:00,[B],,RI,,SN,2017-08-22 11:58:00,BRIVE LA GAILLARDE,FRBVE,"{u'cityCode': None, u'cityLabel': None, u'outsideFrance': False, u'stationLabel': u'BRIVE LA GAILLARDE', u'zipCode': u'19', u'stationLabelFr': u'BRIVE LA GAILLARDE', u'stationCode': u'FRBVE', u'cityLabelFr': None}",7020000,,False,,10,wdi,118.8,[VELO_GRATUIT],AURILLAC,FRAUR,"{u'cityCode': None, u'cityLabel': None, u'outsideFrance': False, u'stationLabel': u'AURILLAC', u'zipCode': u'15', u'stationLabelFr': u'AURILLAC', u'stationCode': u'FRAUR', u'cityLabelFr': None}",142.6,,118.8,151.3,,False,[],False,[],RR,0 days 09:56:00.000000000,3,,73909,BLUE,TER,TER,,2017-08-22T21:54:00,2017-08-22T11:58:00,f9d41d62-9280-467e-adad-cd4007af8762,AURILLAC to NANTES,0,NONE,TRAIN
True,2017-08-22 18:19:00,"[A, B]",,RN,,SN,2017-08-22 14:01:00,PARIS AUSTERLITZ,FRPAZ,"{u'cityCode': u'FRPAR', u'cityLabel': u'PARIS', u'outsideFrance': False, u'stationLabel': u'PARIS AUSTERLITZ', u'zipCode': u'75', u'stationLabelFr': u'PARIS AUSTERLITZ', u'stationCode': u'FRPAZ', u'cityLabelFr': u'PARIS'}",15480000,,False,,11,wdi,118.8,"[HANDICAPE, VELO_PAYANT, NURSERIE, RESTAURATION]",BRIVE LA GAILLARDE,FRBVE,"{u'cityCode': None, u'cityLabel': None, u'outsideFrance': False, u'stationLabel': u'BRIVE LA GAILLARDE', u'zipCode': u'19', u'stationLabelFr': u'BRIVE LA GAILLARDE', u'stationCode': u'FRBVE', u'cityLabelFr': None}",142.6,,118.8,151.3,,False,[],False,[],RR,0 days 09:56:00.000000000,3,,3654,BLUE,TJC,INTERCITÉS,,2017-08-22T21:54:00,2017-08-22T11:58:00,f9d41d62-9280-467e-adad-cd4007af8762,AURILLAC to NANTES,1,NONE,TRAIN
True,2017-08-22 21:54:00,"[A, B]",,RN,,SN,2017-08-22 19:40:00,NANTES,FRNTE,"{u'cityCode': u'FRTNE', u'cityLabel': u'NANTES', u'outsideFrance': False, u'stationLabel': u'NANTES', u'zipCode': u'44', u'stationLabelFr': u'NANTES', u'stationCode': u'FRNTE', u'cityLabelFr': u'NANTES'}",8040000,,False,,12,wdi,118.8,"[HANDICAPE, VOITURE_BAR]",PARIS MONTPARNASSE 1 ET 2,FRPMO,"{u'cityCode': u'FRPAR', u'cityLabel': u'PARIS', u'outsideFrance': False, u'stationLabel': u'PARIS MONTPARNASSE 1 ET 2', u'zipCode': u'75', u'stationLabelFr': u'PARIS MONTPARNASSE 1 ET 2', u'stationCode': u'FRPMO', u'cityLabelFr': u'PARIS'}",142.6,,118.8,151.3,,True,[],False,[],RR,0 days 09:56:00.000000000,3,,8851,BLUE,TGD,TGV,,2017-08-22T21:54:00,2017-08-22T11:58:00,f9d41d62-9280-467e-adad-cd4007af8762,AURILLAC to NANTES,2,NONE,TRAIN
True,2017-08-22 16:23:00,[B],,RI,,SN,2017-08-22 12:55:00,TOULOUSE MATABIAU,FRXYT,"{u'cityCode': u'FRTLS', u'cityLabel': u'TOULOUSE', u'outsideFrance': False, u'stationLabel': u'TOULOUSE MATABIAU', u'zipCode': u'31', u'stationLabelFr': u'TOULOUSE MATABIAU', u'stationCode': u'FRXYT', u'cityLabelFr': u'TOULOUSE'}",12480000,,False,,13,wdi,118.2,[VELO_GRATUIT],AURILLAC,FRAUR,"{u'cityCode': None, u'cityLabel': None, u'outsideFrance': False, u'stationLabel': u'AURILLAC', u'zipCode': u'15', u'stationLabelFr': u'AURILLAC', u'stationCode': u'FRAUR', u'cityLabelFr': None}",184.4,,118.2,131.5,,False,[],False,[],RR,0 days 10:55:00.000000000,3,,71209,BLUE,TER,TER,,2017-08-22T23:50:00,2017-08-22T12:55:00,8e05a444-c306-4541-9c6b-2464363bbd98,AURILLAC to NANTES,0,NONE,TRAIN
True,2017-08-22 21:08:00,"[A, B]",,RN,,SN,2017-08-22 16:48:00,PARIS MONTPARNASSE 1 ET 2,FRPMO,"{u'cityCode': u'FRPAR', u'cityLabel': u'PARIS', u'outsideFrance': False, u'stationLabel': u'PARIS MONTPARNASSE 1 ET 2', u'zipCode': u'75', u'stationLabelFr': u'PARIS MONTPARNASSE 1 ET 2', u'stationCode': u'FRPMO', u'cityLabelFr': u'PARIS'}",15600000,,False,,14,wdi,118.2,"[HANDICAPE, VOITURE_BAR, WIFI, VELO_PAYANT]",TOULOUSE MATABIAU,FRXYT,"{u'cityCode': u'FRTLS', u'cityLabel': u'TOULOUSE', u'outsideFrance': False, u'stationLabel': u'TOULOUSE MATABIAU', u'zipCode': u'31', u'stationLabelFr': u'TOULOUSE MATABIAU', u'stationCode': u'FRXYT', u'cityLabelFr': u'TOULOUSE'}",184.4,,118.2,131.5,,True,[],False,[],RR,0 days 10:55:00.000000000,3,,8518,BLUE,TGD,TGV,,2017-08-22T23:50:00,2017-08-22T12:55:00,8e05a444-c306-4541-9c6b-2464363bbd98,AURILLAC to NANTES,1,NONE,TRAIN
